movieid,title,genres,business_info
1672052,'Breaker' Morant (1980),"Drama, History, War","USD 7,142,857"
1672111,'Crocodile' Dundee II (1988),"Action, Adventure, Comedy","USD 109,305,000"
1672580,'Til There Was You (1997),"Comedy, Romance","USD 10,000,000"
1672716,"'night, Mother (1986)",Drama,"USD 384,043"
1673848,10 Things I Hate About You (1999),"Comedy, Drama, Romance","USD 16,000,000"
1674388,101 Dalmatians (1996),"Adventure, Comedy, Family","USD 54,000,000"
1677011,2 Days in the Valley (1996),"Comedy, Crime","USD 11,090,856"
1677258,2 ou 3 choses que je sais d'elle (1967),"Comedy, Drama","USD 101,944"
1677346,20 Dates (1998),"Biography, Comedy, Romance","USD 60,000"
1677516,200 Cigarettes (1999),"Comedy, Drama, Romance","USD 6,000,000"
1677631,2001: A Space Odyssey (1968),"Adventure, Mystery, Sci-Fi","USD 10,500,000"
1678036,2010 (1984),"Sci-Fi, Thriller","USD 28,000,000"
1678591,24 7: Twenty Four Seven (1997),"Comedy, Drama, Romance, Sport",
1679029,28 Days (2000),"Comedy, Drama","USD 43,000,000"
1679461,3 Ninjas: High Noon at Mega Mountain (1998),"Action, Adventure, Comedy, Family","USD 308,082"
1679507,3 Strikes (2000),Comedy,"USD 6,000,000"
1681633,52 Pick-Up (1986),"Crime, Thriller","USD 5,186,646"
1681655,54 (1998),"Drama, History","USD 13,000,000"
1682657,8 Heads in a Duffel Bag (1997),"Comedy, Crime","USD 3,559,990"
1682692,8 Seconds (1994),"Biography, Drama, Sport","USD 7,000,000"
1682746,8 ½ Women (1999),"Comedy, Drama","USD 417,517"
1682922,8MM (1999),"Crime, Mystery, Thriller","USD 40,000,000"
1684430,A Bronx Tale (1993),"Crime, Drama","USD 22,000,000"
1684486,A Bug's Life (1998),"Adventure, Animation, Comedy, Family","USD 120,000,000"
1685309,A Christmas Story (1983),"Comedy, Family","USD 16,743,818"
1685405,A Civil Action (1998),Drama,"USD 60,000,000"
1685463,A Clockwork Orange (1971),"Crime, Drama, Sci-Fi","USD 2,200,000"
1687181,A Dog of Flanders (1999),"Drama, Family","USD 7,000,000"
1687685,A Family Thing (1996),"Comedy, Drama","USD 10,118,000"
1687730,A Far Off Place (1993),"Adventure, Drama, Family, Romance","USD 12,890,752"
1687905,A Few Good Men (1992),"Crime, Drama, Mystery, Thriller","USD 40,000,000"
1688103,A Fish Called Wanda (1988),"Comedy, Crime","USD 7,500,000"
1689117,A Good Man in Africa (1994),Comedy,"USD 20,000,000"
