movieid,Gross,USD,Title,Year,Genre
1673848,"GR: USD 38,176,108 (USA) (29 August 1999)",38176108,10 Things I Hate About You (1999),1999,Comedy
1674388,"GR: USD 136,182,161 (USA) (4 May 1997)",136182161,101 Dalmatians (1996),1996,Adventure
1677011,"GR: USD 11,090,856 (USA) (15 December 1996)",11090856,2 Days in the Valley (1996),1996,Comedy
1677258,"GR: USD 101,944 (USA) (29 April 2007)",101944,2 ou 3 choses que je sais d'elle (1967),1967,Comedy
1677346,"GR: USD 536,767 (USA) (25 April 1999)",536767,20 Dates (1998),1998,Biography
1677516,"GR: USD 6,851,636 (USA) (9 May 1999)",6851636,200 Cigarettes (1999),1999,Comedy
1677631,"GR: USD 239,621 (USA) (31 December 2001)",239621,2001: A Space Odyssey (1968),1968,Sci-Fi
1678036,"GR: USD 40,200,000 (USA)",40200000,2010 (1984),1984,Sci-Fi
1679029,"GR: USD 37,035,515 (USA) (6 August 2000)",37035515,28 Days (2000),2000,Comedy
1679461,"GR: USD 308,082 (USA) (19 April 1998)",308082,3 Ninjas: High Noon at Mega Mountain (1998),1998,Action
1679507,"GR: USD 9,821,335 (USA) (4 June 2000)",9821335,3 Strikes (2000),2000,Comedy
1681633,"GR: USD 5,186,646 (USA) (21 December 1986)",5186646,52 Pick-Up (1986),1986,Crime
1681655,"GR: USD 16,574,731 (USA) (27 September 1998)",16574731,54 (1998),1998,Drama
1682657,"GR: USD 3,559,990 (USA) (4 May 1997)",3559990,8 Heads in a Duffel Bag (1997),1997,Comedy
1682746,"GR: USD 417,517 (USA) (23 July 2000)",417517,8� Women (1999),1999,Comedy
1682922,"GR: USD 36,283,504 (USA) (9 May 1999)",36283504,8MM (1999),1999,Crime
1684486,"GR: USD 162,792,677 (USA) (16 May 1999)",162792677,A Bug's Life (1998),1998,Adventure
1685309,"GR: USD 16,743,818 (USA) (8 January 1984)",16743818,A Christmas Story (1983),1983,Comedy
1685405,"GR: USD 56,702,901 (USA) (2 May 1999)",56702901,A Civil Action (1998),1998,Drama
1685463,"GR: USD 26,589,355 (USA) (1973)",26589355,A Clockwork Orange (1971),1971,Crime
1687181,"GR: USD 2,148,212 (USA) (26 September 1999)",2148212,A Dog of Flanders (1999),1999,Drama
1687685,"GR: USD 10,118,000 (USA)",10118000,A Family Thing (1996),1996,Comedy
1687905,"GR: USD 141,340,178 (USA)",141340178,A Few Good Men (1992),1992,Drama
1688103,"GR: USD 63,493,712 (USA)",63493712,A Fish Called Wanda (1988),1988,Comedy
1689183,"GR: USD 35,348,597 (USA)",35348597,A Goofy Movie (1995),1995,Adventure
1689263,"GR: USD 527,274 (USA)",527274,A Great Day in Harlem (1994),1994,Documentary
1689475,"GR: USD 1,000,549 (USA) (4 February 2001)",1000549,A Hard Day's Night (1964),1964,Comedy
1690318,"GR: USD 13,323,625 (USA) (19 November 1995)",13323625,A Kid in King Arthur's Court (1995),1995,Adventure
2593112,"GR: USD 337,560 (USA)",337560,� k�ldum klaka (1995),1995,Comedy
1690773,"GR: USD 4,266,243 (USA) (23 November 1997)",4266243,A Life Less Ordinary (1997),1997,Comedy
1691077,"GR: USD 10,019,307 (USA)",10019307,A Little Princess (1995),1995,Drama
1691685,"GR: USD 95,254 (USA) (31 December 1994)",95254,A Man of No Importance (1994),1994,Comedy
1691793,"GR: USD 544,538 (USA) (9 July 2000)",544538,A Map of the World (1999),1999,Drama
1692173,"GR: USD 16,071,990 (USA) (29 August 1999)",16071990,A Midsummer Night's Dream (1999),1999,Comedy
1692580,"GR: USD 2,196,534 (USA)",2196534,A Month by the Lake (1995),1995,Comedy
1693225,"GR: USD 30,324,946 (USA) (3 January 1999)",30324946,A Night at the Roxbury (1998),1998,Comedy
1693341,"GR: USD 10,777,659 (USA) (27 January 1985)",10777659,A Nightmare on Elm Street (1984),1984,Horror
1693345,"GR: USD 44,053,755 (USA) (7 September 1987)",44053755,A Nightmare on Elm Street 3: Dream Warriors (1987),1987,Horror
1693346,"GR: USD 49,336,557 (USA) (11 December 1998)",49336557,A Nightmare on Elm Street 4: The Dream Master (1988),1988,Horror
1693347,"GR: USD 23,060,333 (USA) (23 February 1986)",23060333,A Nightmare on Elm Street Part 2: Freddy's Revenge (1985),1985,Horror
1693348,"GR: USD 22,168,359 (USA) (29 October 1989)",22168359,A Nightmare on Elm Street: The Dream Child (1989),1989,Horror
1693818,"GR: USD 48,522 (USA) (14 July 1996)",48522,A Perfect Candidate (1996),1996,Documentary
1693861,"GR: USD 67,629,105 (USA) (13 September 1998)",67629105,A Perfect Murder (1998),1998,Crime
1693880,"GR: USD 31,160,784 (USA)",31160784,A Perfect World (1993),1993,Crime
1694448,"GR: USD 1,081,957 (USA) (31 May 1998)",1081957,A Price Above Rubies (1998),1998,Drama
1694647,"GR: USD 468,240 (USA)",468240,A Pyromaniac's Love Story (1995),1995,Comedy
1695355,"GR: USD 15,905,912 (USA) (28 June 1987)",15905912,A Room with a View (1985),1985,Drama
1696148,"GR: USD 16,311,763 (USA) (16 May 1999)",16311763,A Simple Plan (1998),1998,Crime
1696168,"GR: USD 8,119,205 (USA) (24 August 1997)",8119205,A Simple Wish (1997),1997,Comedy
1696396,"GR: USD 3,247,524 (USA) (21 September 1997)",3247524,A Smile Like Yours (1997),1997,Comedy
1696473,"GR: USD 1,759,596 (USA) (22 November 1998)",1759596,A Soldier's Daughter Never Cries (1998),1998,Drama
1696496,"GR: USD 19,758,558 (USA) (23 December 1984)",19758558,A Soldier's Story (1984),1984,Drama
1697037,"GR: USD 8,000,000 (USA)",8000000,A Streetcar Named Desire (1951),1951,Drama
1697674,"GR: USD 34,746,109 (USA) (18 August 1996)",34746109,A Thin Line Between Love and Hate (1996),1996,Comedy
1697690,"GR: USD 7,928,412 (USA) (14 December 1997)",7928412,A Thousand Acres (1997),1997,Drama
1697856,"GR: USD 108,706,165 (USA) (24 November 1996)",108706165,A Time to Kill (1996),1996,Crime
1698492,"GR: USD 21,397,954 (USA) (17 November 1996)",21397954,A Very Brady Sequel (1996),1996,Comedy
1698667,"GR: USD 49,667,091 (USA) (11 August 1985)",49667091,A View to a Kill (1985),1985,Action
1698944,"GR: USD 50,012,507 (USA)",50012507,A Walk in the Clouds (1995),1995,Drama
1698972,"GR: USD 4,741,987 (USA) (4 July 1999)",4741987,A Walk on the Moon (1999),1999,Drama
