movieid,title,Year,genres,Currency,Budget,Adjusted_Budget,Gross_Revenue,Adjusted_Gross_Revenue,Percentage_Profit_Loss,Additional_Data
1672580,'Til There Was You (1997),1997,"Comedy, Romance",USD,10000000.0,19384156.790492054,3478370.0,6742526.945534385,-65.21629999999999,
1673848,10 Things I Hate About You (1999),1999,"Comedy, Drama, Romance",USD,16000000.0,30015959.84870129,38176108.0,71618282.80673026,138.600675,"519,175 (Germany) (7 November 1999) | 146,938 (Netherlands) (31 December 1999)"
1674388,101 Dalmatians (1996),1996,"Adventure, Comedy, Family",USD,54000000.0,108128703.40872273,136182161.0,272688898.0801468,152.18918703703704,"3,799,822 (France) (24 June 1997) | 3,680,936 (France) (27 May 1997) | 2,839,128 (France) (22 April 1997) | 830,026 (France) (1 April 1997) (opening week) | 152,657 (France) (1 April 1997) (opening week) | 25,960 (France) (26 March 1997) (opening day) | 2,103,907 (Germany) (5 May 1997) | 2,058,380 (Germany) (28 April 1997) | 1,982,232 (Germany) (21 April 1997) | 1,886,916 (Germany) (14 April 1997) | 1,732,384 (Germany) (8 April 1997) | 1,449,381 (Germany) (2 April 1997) | 1,084,661 (Germany) (24 March 1997) | 761,328 (Germany) (18 March 1997) | 305,536 (Germany) (9 March 1997) | 813,354 (Netherlands) (31 December 1998) | 812,969 (Netherlands) (1 January 1998) | 259,747 (Portugal) (24 April 1997) | 211,177 (Portugal) (10 April 1997) | 173,095 (Portugal) (3 April 1997) | 98,707 (Portugal) (27 March 1997)"
1677346,20 Dates (1998),1998,"Biography, Comedy, Romance",USD,60000.0,114360.80702355197,536767.0,1023085.1217268487,794.6116666666666,
1677516,200 Cigarettes (1999),1999,"Comedy, Drama, Romance",USD,6000000.0,11255984.943262983,6851636.0,12853651.94211977,14.19393333333334,45 (Netherlands) (31 December 2001) | 26 (Netherlands) (31 December 2000)
1677631,2001: A Space Odyssey (1968),1968,"Adventure, Mystery, Sci-Fi",USD,10500000.0,94973371.77243651,239621.0,2167391.8397602867,-97.71789523809524,"2,911,076 (Spain) (20 December 20002)"
1678036,2010 (1984),1984,"Sci-Fi, Thriller",USD,28000000.0,84811780.73578514,40200000.0,121765485.19923438,43.57142857142857,"51,157 (Sweden)"
1679029,28 Days (2000),2000,"Comedy, Drama",USD,43000000.0,78547119.8572393,37035515.0,67651931.06231591,-13.870895348837209,"48,058 (Denmark) (14 September 2000) | 28,304 (Netherlands) (31 December 2000)"
1679507,3 Strikes (2000),2000,Comedy,USD,6000000.0,10960063.235893857,9821335.0,17940408.776816264,63.68891666666665,
1681655,54 (1998),1998,"Drama, History",USD,13000000.0,24778174.855102926,16574731.0,31591660.222638074,27.497930769230766,"4,586 (Netherlands) (31 December 1999)"
