movieid,title,year,genres,Currency,Budget,Adjusted_Budget,Gross_Revenue,Adjusted_Gross_Revenue,Additional_Data,Copyright
2446778,The Kid (1921),1921,"Comedy, Drama, Family",USD,"250,000.00","3,949,235.20","2,500,000.00","39,492,352.03",,"Copyright © MCMXXI by Charles Chaplin, Copyright renewed (on print)"
2402490,Tess of the Storm Country (1922),1922,"Drama, Romance",USD,"400,000.00","7,083,829.96","927,953.00","16,433,653.16",,Mary Pickford Co.; 1 December 1922; LP18587
1699546,A Woman of Paris: A Drama of Fate (1923),1923,"Drama, Romance",USD,"351,000.00","6,362,395.90","36,358.00","659,042.71","37,887 (Spain) (31 August 2002)",United Artists Corporation; 17 October 1923; LP19504 (in copyright registry)
2499216,Three Ages (1923),1923,Comedy,,,,"21,238.00","384,970.27","15,586 (Spain) (31 August 2002)",Buster Keaton Productions; 25 July 1923; LP19231 (in copyright registry)
1790530,Bronenosets Potyomkin (1925),1925,"Drama, History",,,,"50,970.00","902,252.82","277,211 (Spain) (31 August 2002)",Public domain
1970338,Go West (1925),1925,"Comedy, Western",,,,"12,123.00","214,597.04","8,649 (Spain) (31 August 2002)","© 1925 Buster Keaton Productions, Inc. (on print); Buster Keaton Productions, Inc. (original), U.S. Copyright LP22048, 23 November 1925 (in copyright registry)"
2437383,The Gold Rush (1925),1925,"Adventure, Comedy, Family, Romance, Western",USD,"923,000.00","16,338,617.93","44,014.00","779,120.18","30,879 (Spain) (31 August 2002) | 299,859 (Spain) (31 August 2002)",Charles Chaplin Productions; 16 August 1925; LP21805 (in copyright registry)
1758003,Battling Butler (1926),1926,Comedy,,,,"12,612.00","215,703.52","8,524 (Spain) (31 August 2002)",Copyright 1926 by Metro-Goldwyn-Mayer Corporation (on print); Buster Keaton Productions; 30 August 1926; LP23068 (in copyright registry)
2365831,Sparrows (1926),1926,Drama,USD,"463,455.00","7,926,488.58","966,878.00","16,536,551.39",,"Copyright MCMXXVI by The Pickford Corporation (on print); The Mary Pickford Corp.,30 April 1926, LP22664 (in copyright registry)"
2170625,Metropolis (1927),1927,"Drama, Sci-Fi",DEM,"6,000,000.00","103,759,584.78","26,435.00","457,147.44",,© Friedrich-Wilhelm-Murnau-Foundation (restoration)
2192654,My Best Girl (1927),1927,"Comedy, Romance",USD,"483,103.00","8,354,427.78","1,027,757.00","17,773,273.26",,Copyright MCMXXVII by The Pickford Corporation (on print); The Pickford Corporation; 22 December 1927; LP24780 (in copyright registry)
2416139,The Broadway Melody (1929),1929,"Musical, Romance",USD,"379,000.00","6,789,920.30","2,808,000.00","50,306,322.42",,© Metro-Goldwyn-Mayer Distributing Corporation; 5 March 1929; LP183 (in copyright registry)
1866400,Der blaue Engel (1930),1930,"Drama, Music",,,,"77,982.00","1,388,742.91",,
1949502,Frankenstein (1931),1931,"Horror, Sci-Fi",USD,"291,000.00","5,536,618.84","12,000,000.00","228,314,178.86",,Universal Pictures Corp.; 16 November 1931; LP2631 (in copyright registry)
1821769,City Lights (1931),1931,"Comedy, Drama, Romance",USD,"1,500,000.00","28,539,272.36","19,181.00","364,941.19",,© Charles Chaplin; 1 February 1931; LP2034 (in copyright registry)
2145603,M (1931),1931,"Crime, Film-Noir, Thriller",,,,"28,877.00","549,419.05",,
1975664,Grand Hotel (1932),1932,"Drama, Romance",USD,"700,000.00","14,683,932.86","1,235,000.00","25,906,652.97",,Metro-Goldwyn-Mayer Distributing Corporation; 5 May 1932; LP3013 (in copyright registry)
1807863,Cavalcade (1933),1933,"Drama, Romance, War",USD,"1,180,280.00","27,601,771.41","8,000,000.00","187,086,260.30",,Fox Film Corporation; 4 January 1933; LP3666 (in copyright registry)
2072508,King Kong (1933),1933,"Adventure, Fantasy",USD,"670,000.00","15,668,474.30","1,700,000.00","39,755,830.31",,"RKO Radio Pictures, Inc.; 24 February 1933; LP3794 (in copyright registry)"
2509481,Top Hat (1935),1935,"Comedy, Musical, Romance",USD,"609,000.00","13,920,108.65","1,782,000.00","40,731,746.50",,"COPYRIGHT MCMXXXV - RKO RADIO PICTURES,INC.- ALL RIGHTS RESERVED (on print); RKO Radio Pictures, Inc.; 29 August 1935; LP5812 (in copyright registry)"
2179939,Modern Times (1936),1936,"Comedy, Drama",USD,"1,500,000.00","33,287,361.07","163,245.00","3,622,663.51",,Charles Chaplin; 5 February 1936; LP6124 (in copyright registry)
2094455,La grande illusion (1937),1937,"Drama, War",,,,"172,885.00","3,783,619.60",,
2357543,Snow White and the Seven Dwarfs (1937),1937,"Animation, Family, Fantasy, Musical, Romance",USD,"2,000,000.00","43,770,363.02","41,634,000.00","911,167,646.89","1,870,500 (Argentina)","RKO Radio Pictures, Inc.; 21 December 1937; LP7689 (in copyright registry)"
1789269,Bringing Up Baby (1938),1938,"Comedy, Romance",USD,"1,073,000.00","22,820,991.02","10,863.00","231,038.61",,"Copyright MCMXXXVIII . . .RKO Radio Pictures, Inc. (on print); RKO Radio Pictures, Inc.; 18 February 1938; LP7859 (in copyright registry)"
2233759,Only Angels Have Wings (1939),1939,Drama,,,,"8,554.00","187,170.65",,Columbia Pictures Corp. of California Ltd.; 11 May 1939; LP8899
1972884,Gone with the Wind (1939),1939,"Drama, Romance, War",USD,"3,977,000.00","87,021,006.91","198,655,278.00","4,346,789,620.02",,"Copyright MCMXXXIX by Selznick International Pictures, Inc. (on print); Selznick International Pictures, Inc.; 31 December 1939; LP9390 (in copyright registry)"
2493444,The Wizard of Oz (1939),1939,"Adventure, Family, Fantasy, Musical",USD,"2,777,000.00","60,763,725.47","14,792,232.00","323,669,832.29",,"1989 Turner Entertainment, Co."
