movieid,title,year,genres,Currency,Budget,Gross_Revenue,Additional_Data,Copyright
2446778,The Kid (1921),1921,"Comedy, Drama, Family",USD,"250,000.00","2,500,000.00",,"Copyright © MCMXXI by Charles Chaplin, Copyright renewed (on print)"
2402490,Tess of the Storm Country (1922),1922,"Drama, Romance",USD,"400,000.00","927,953.00",,Mary Pickford Co.; 1 December 1922; LP18587
1699546,A Woman of Paris: A Drama of Fate (1923),1923,"Drama, Romance",USD,"351,000.00","36,358.00","37,887 (Spain) (31 August 2002)",United Artists Corporation; 17 October 1923; LP19504 (in copyright registry)
2437383,The Gold Rush (1925),1925,"Adventure, Comedy, Family, Romance, Western",USD,"923,000.00","44,014.00","30,879 (Spain) (31 August 2002) | 299,859 (Spain) (31 August 2002)",Charles Chaplin Productions; 16 August 1925; LP21805 (in copyright registry)
2365831,Sparrows (1926),1926,Drama,USD,"463,455.00","966,878.00",,"Copyright MCMXXVI by The Pickford Corporation (on print); The Mary Pickford Corp.,30 April 1926, LP22664 (in copyright registry)"
2192654,My Best Girl (1927),1927,"Comedy, Romance",USD,"483,103.00","1,027,757.00",,Copyright MCMXXVII by The Pickford Corporation (on print); The Pickford Corporation; 22 December 1927; LP24780 (in copyright registry)
2416139,The Broadway Melody (1929),1929,"Musical, Romance",USD,"379,000.00","2,808,000.00",,© Metro-Goldwyn-Mayer Distributing Corporation; 5 March 1929; LP183 (in copyright registry)
1821769,City Lights (1931),1931,"Comedy, Drama, Romance",USD,"1,500,000.00","19,181.00",,© Charles Chaplin; 1 February 1931; LP2034 (in copyright registry)
1949502,Frankenstein (1931),1931,"Horror, Sci-Fi",USD,"291,000.00","12,000,000.00",,Universal Pictures Corp.; 16 November 1931; LP2631 (in copyright registry)
1975664,Grand Hotel (1932),1932,"Drama, Romance",USD,"700,000.00","1,235,000.00",,Metro-Goldwyn-Mayer Distributing Corporation; 5 May 1932; LP3013 (in copyright registry)
2072508,King Kong (1933),1933,"Adventure, Fantasy",USD,"670,000.00","1,700,000.00",,"RKO Radio Pictures, Inc.; 24 February 1933; LP3794 (in copyright registry)"
1807863,Cavalcade (1933),1933,"Drama, Romance, War",USD,"1,180,280.00","8,000,000.00",,Fox Film Corporation; 4 January 1933; LP3666 (in copyright registry)
