movieid,title,year,genres,Currency,Budget,Adjusted_Budget,Gross_Revenue,Adjusted_Gross_Revenue
1972884,Gone with the Wind (1939),1939,"Drama, Romance, War",USD,"3,977,000.00","87,021,006.91","198,655,278.00","4,346,789,620.02"
2371726,Star Wars (1977),1977,"Action, Adventure, Fantasy, Sci-Fi",USD,"11,000,000.00","57,954,447.80","460,935,665.00","2,428,479,267.02"
2235600,Operazione paura (1966),1966,"Horror, Mystery",USD,"50,000.00","482,125.54","201,000,000.00","1,938,144,662.72"
2430234,The Exorcist (1973),1973,"Horror, Thriller",USD,"10,497,444.00","75,707,716.52","204,565,000.00","1,475,325,710.67"
2504469,Titanic (1997),1997,"Drama, Romance",USD,"200,000,000.00","387,683,135.81","658,672,302.00","1,276,780,717.55"
2371786,Star Wars: Episode V - The Empire Strikes Back (1980),1980,"Action, Adventure, Sci-Fi",USD,"18,000,000.00","71,969,049.15","290,475,067.00","1,161,400,798.61"
2481665,The Sting (1973),1973,"Comedy, Crime, Drama",USD,"5,500,000.00","39,666,078.79","156,000,000.00","1,125,074,234.91"
1883660,Doctor Zhivago (1965),1965,"Drama, Romance, War",USD,"11,000,000.00","108,082,903.11","111,721,910.00","1,097,748,033.95"
2103866,Lady and the Tramp (1955),1955,"Adventure, Animation, Comedy, Romance",USD,"4,000,000.00","45,959,077.55","93,600,000.00","1,075,442,414.68"
2437277,The Godfather (1972),1972,"Crime, Drama",USD,"6,000,000.00","44,743,336.88","134,966,411.00","1,006,474,599.16"
2371787,Star Wars: Episode VI - Return of the Jedi (1983),1983,"Action, Adventure, Fantasy, Sci-Fi",USD,"32,500,000.00","102,183,050.83","309,125,409.00","971,919,303.98"
2357543,Snow White and the Seven Dwarfs (1937),1937,"Animation, Family, Fantasy, Musical, Romance",USD,"2,000,000.00","43,770,363.02","41,634,000.00","911,167,646.89"
2058680,Jurassic Park (1993),1993,"Adventure, Sci-Fi",USD,"63,000,000.00","136,380,581.40","402,348,347.00","870,992,087.12"
1795698,Butch Cassidy and the Sundance Kid (1969),1969,"Adventure, Biography, Crime, Western",USD,"6,000,000.00","51,834,286.68","96,700,000.00","835,395,920.35"
2474100,The Rocky Horror Picture Show (1975),1975,"Comedy, Musical",USD,"1,200,000.00","7,089,710.91","139,876,417.00","826,402,799.15"
