movieid,Gross,USD,Title,Year,Genre,Budget,Gross Revenue,Additional Data,Copyright,Currency,Unnamed: 6,Profit / Loss,% Profit / Loss 
1673848,"GR: USD 38,176,108 (USA) (29 August 1999)",38176108,10 Things I Hate About You (1999),1999,Comedy,16000000,38176108,"519,175 (Germany) (7 November 1999) | 146,938 (Netherlands) (31 December 1999)",,USD,,22176108,138.600675
1674388,"GR: USD 136,182,161 (USA) (4 May 1997)",136182161,101 Dalmatians (1996),1996,Adventure,54000000,136182161,"3,799,822 (France) (24 June 1997) | 3,680,936 (France) (27 May 1997) | 2,839,128 (France) (22 April 1997) | 830,026 (France) (1 April 1997) (opening week) | 152,657 (France) (1 April 1997) (opening week) | 25,960 (France) (26 March 1997) (opening day) | 2,103,907 (Germany) (5 May 1997) | 2,058,380 (Germany) (28 April 1997) | 1,982,232 (Germany) (21 April 1997) | 1,886,916 (Germany) (14 April 1997) | 1,732,384 (Germany) (8 April 1997) | 1,449,381 (Germany) (2 April 1997) | 1,084,661 (Germany) (24 March 1997) | 761,328 (Germany) (18 March 1997) | 305,536 (Germany) (9 March 1997) | 813,354 (Netherlands) (31 December 1998) | 812,969 (Netherlands) (1 January 1998) | 259,747 (Portugal) (24 April 1997) | 211,177 (Portugal) (10 April 1997) | 173,095 (Portugal) (3 April 1997) | 98,707 (Portugal) (27 March 1997)",,USD,,82182161,152.189187
1677346,"GR: USD 536,767 (USA) (25 April 1999)",536767,20 Dates (1998),1998,Biography,60000,536767,,,USD,,476767,794.6116667
1677516,"GR: USD 6,851,636 (USA) (9 May 1999)",6851636,200 Cigarettes (1999),1999,Comedy,6000000,6851636,45 (Netherlands) (31 December 2001) | 26 (Netherlands) (31 December 2000),,USD,,851636,14.19393333
1677631,"GR: USD 239,621 (USA) (31 December 2001)",239621,2001: A Space Odyssey (1968),1968,Sci-Fi,10500000,239621,"2,911,076 (Spain) (20 December 20002)",Metro-Goldwyn-Mayer Inc.; 3 April 1968; LP36136 (in copyright registry),USD,,-10260379,-97.71789524
1678036,"GR: USD 40,200,000 (USA)",40200000,2010 (1984),1984,Sci-Fi,28000000,40200000,"51,157 (Sweden)",MGM/UA Entertainment Co.,USD,,12200000,43.57142857
1679029,"GR: USD 37,035,515 (USA) (6 August 2000)",37035515,28 Days (2000),2000,Comedy,43000000,37035515,"48,058 (Denmark) (14 September 2000) | 28,304 (Netherlands) (31 December 2000)","© 2000 Columbia Pictures Industries, Inc. (on print)",USD,,-5964485,-13.87089535
1679507,"GR: USD 9,821,335 (USA) (4 June 2000)",9821335,3 Strikes (2000),2000,Comedy,6000000,9821335,,,USD,,3821335,63.68891667
1681655,"GR: USD 16,574,731 (USA) (27 September 1998)",16574731,54 (1998),1998,Drama,13000000,16574731,"4,586 (Netherlands) (31 December 1999)",(1998) Miramax Film Corp.,USD,,3574731,27.49793077
1682922,"GR: USD 36,283,504 (USA) (9 May 1999)",36283504,8MM (1999),1999,Crime,40000000,36283504,"787,000 (Germany) (9 May 1999) | 733,351 (Germany) (2 May 1999) | 666,842 (Germany) (25 April 1999) | 124,555 (Netherlands) (31 December 1999)",Global Entertainment Productions GmbH & Co. Medien KG,USD,,-3716496,-9.29124
