movieid,Budget,Gross Revenue,Additional Data,Copyright,Currency
1672052,650000.0,7142857.0,,South Australian Film Corporation,AUD
1672111,15800000.0,109305000.0,"794,938 (Sweden) | 3,746,964 (West Germany)",Rimfire Films Limited,AUD
1672580,10000000.0,3478370.0,,,USD
1672716,,384043.0,,"© 1986 Universal City Studios, Inc. All Rights Reserved.",
1673848,16000000.0,38176108.0,"519,175 (Germany) (7 November 1999) | 146,938 (Netherlands) (31 December 1999)",,USD
1674388,54000000.0,136182161.0,"3,799,822 (France) (24 June 1997) | 3,680,936 (France) (27 May 1997) | 2,839,128 (France) (22 April 1997) | 830,026 (France) (1 April 1997) (opening week) | 152,657 (France) (1 April 1997) (opening week) | 25,960 (France) (26 March 1997) (opening day) | 2,103,907 (Germany) (5 May 1997) | 2,058,380 (Germany) (28 April 1997) | 1,982,232 (Germany) (21 April 1997) | 1,886,916 (Germany) (14 April 1997) | 1,732,384 (Germany) (8 April 1997) | 1,449,381 (Germany) (2 April 1997) | 1,084,661 (Germany) (24 March 1997) | 761,328 (Germany) (18 March 1997) | 305,536 (Germany) (9 March 1997) | 813,354 (Netherlands) (31 December 1998) | 812,969 (Netherlands) (1 January 1998) | 259,747 (Portugal) (24 April 1997) | 211,177 (Portugal) (10 April 1997) | 173,095 (Portugal) (3 April 1997) | 98,707 (Portugal) (27 March 1997)",,USD
1674737,350000.0,,,copyright mcmlvi orion-nova twelve angry men © all rights reserved (on print); Orion-Nova Twelve Angry Men; 10 April 1957; LP8463 (in copyright registry),USD
1677011,,11090856.0,"7,204 (Netherlands) (31 December 1998) | 7,177 (Netherlands) (1 January 1998)","© 1996 Rysher Entertainment, Inc.",
1677258,,101944.0,,,
1677346,60000.0,536767.0,,,USD
1677472,1000.0,,,,USD
1677516,6000000.0,6851636.0,45 (Netherlands) (31 December 2001) | 26 (Netherlands) (31 December 2000),,USD
