movieid,title,genre
1672052,"'Breaker' Morant (1980)",Drama
1672052,"'Breaker' Morant (1980)",History
1672052,"'Breaker' Morant (1980)",War
1672111,"'Crocodile' Dundee II (1988)",Action
1672111,"'Crocodile' Dundee II (1988)",Adventure
1672111,"'Crocodile' Dundee II (1988)",Comedy
1672580,"'Til There Was You (1997)",Comedy
1672580,"'Til There Was You (1997)",Romance
1672716,"'night, Mother (1986)",Drama
1672946,"...And Justice for All (2014)",Action
1672946,"...And Justice for All (2014)",Comedy
1672946,"...And Justice for All (2014)",Crime
1672946,"...And Justice for All (2014)",Drama
1673647,"1-2-3-4 ou Les collants noirs (1961)",Drama
1673647,"1-2-3-4 ou Les collants noirs (1961)",Musical
1673658,"1-900 (1996)",Comedy
1673658,"1-900 (1996)",Drama
1673658,"1-900 (1996)",Thriller
1673848,"10 Things I Hate About You (1999)",Comedy
1673848,"10 Things I Hate About You (1999)",Drama
1673848,"10 Things I Hate About You (1999)",Romance
1674388,"101 Dalmatians (1996)",Adventure
1674388,"101 Dalmatians (1996)",Comedy
1674388,"101 Dalmatians (1996)",Family
1674737,"12 Angry Men (1957)",Drama
1677011,"2 Days in the Valley (1996)",Comedy
1677011,"2 Days in the Valley (1996)",Crime
1677258,"2 ou 3 choses que je sais d'elle (1967)",Comedy
1677258,"2 ou 3 choses que je sais d'elle (1967)",Drama
1677346,"20 Dates (1998)",Biography
1677346,"20 Dates (1998)",Comedy
1677346,"20 Dates (1998)",Romance
1677472,"20,000 Leagues Under the Sea (1905)",Sci-Fi
1677472,"20,000 Leagues Under the Sea (1905)",Short
1677516,"200 Cigarettes (1999)",Comedy
1677516,"200 Cigarettes (1999)",Drama
1677516,"200 Cigarettes (1999)",Romance
1677631,"2001: A Space Odyssey (1968)",Adventure
1677631,"2001: A Space Odyssey (1968)",Mystery
1677631,"2001: A Space Odyssey (1968)",Sci-Fi
1678036,"2010 (1984)",Sci-Fi
1678036,"2010 (1984)",Thriller
1678591,"24 7: Twenty Four Seven (1997)",Comedy
1678591,"24 7: Twenty Four Seven (1997)",Drama
1678591,"24 7: Twenty Four Seven (1997)",Romance
1678591,"24 7: Twenty Four Seven (1997)",Sport
1679029,"28 Days (2000)",Comedy
1679029,"28 Days (2000)",Drama
1679461,"3 Ninjas: High Noon at Mega Mountain (1998)",Action
1679461,"3 Ninjas: High Noon at Mega Mountain (1998)",Adventure
1679461,"3 Ninjas: High Noon at Mega Mountain (1998)",Comedy
1679461,"3 Ninjas: High Noon at Mega Mountain (1998)",Family
1679507,"3 Strikes (2000)",Comedy
1679920,"301, 302 (1995)",Horror
1679920,"301, 302 (1995)",Mystery
1679920,"301, 302 (1995)",Thriller
1681633,"52 Pick-Up (1986)",Crime
1681633,"52 Pick-Up (1986)",Thriller
1681655,"54 (1998)",Drama
1681655,"54 (1998)",History
1682630,"8 1/2 (1963)",Crime
1682657,"8 Heads in a Duffel Bag (1997)",Comedy
1682657,"8 Heads in a Duffel Bag (1997)",Crime
1682692,"8 Seconds (1994)",Biography
1682692,"8 Seconds (1994)",Drama
1682692,"8 Seconds (1994)",Sport
1682746,"8 ½ Women (1999)",Comedy
1682746,"8 ½ Women (1999)",Drama
1682922,"8MM (1999)",Crime
1682922,"8MM (1999)",Mystery
1682922,"8MM (1999)",Thriller
1684201,"A Boy Called Hate (1995)",Crime
1684201,"A Boy Called Hate (1995)",Drama
1684201,"A Boy Called Hate (1995)",Romance
1684430,"A Bronx Tale (1993)",Crime
1684430,"A Bronx Tale (1993)",Drama
1684442,"A Brother's Kiss (1997)",Drama
1684486,"A Bug's Life (1998)",Adventure
1684486,"A Bug's Life (1998)",Animation
1684486,"A Bug's Life (1998)",Comedy
1684486,"A Bug's Life (1998)",Family
1684910,"A Century of Cinema (1994)",Documentary
1685241,"A Christmas Carol (1938)",Drama
1685241,"A Christmas Carol (1938)",Family
1685241,"A Christmas Carol (1938)",Fantasy
1685309,"A Christmas Story (1983)",Comedy
1685309,"A Christmas Story (1983)",Family
1685405,"A Civil Action (1998)",Drama
1685463,"A Clockwork Orange (1971)",Crime
1685463,"A Clockwork Orange (1971)",Drama
1685463,"A Clockwork Orange (1971)",Sci-Fi
1685493,"A Close Shave (1995)",Animation
1685493,"A Close Shave (1995)",Comedy
1685493,"A Close Shave (1995)",Crime
1685493,"A Close Shave (1995)",Family
1685493,"A Close Shave (1995)",Short
1685815,"A Cool, Dry Place (1998)",Drama
1686071,"A Cry in the Dark (2010)",Drama
1686071,"A Cry in the Dark (2010)",Family
1686071,"A Cry in the Dark (2010)",Thriller
1686209,"A Damsel in Distress (1937)",Comedy
1686209,"A Damsel in Distress (1937)",Musical
1686209,"A Damsel in Distress (1937)",Romance
1687181,"A Dog of Flanders (1999)",Drama
1687181,"A Dog of Flanders (1999)",Family
1687191,"A Dog's Life (1917)",Animation
1687191,"A Dog's Life (1917)",Short
1687544,"A Face in the Crowd (1957)",Drama
1687685,"A Family Thing (1996)",Comedy
1687685,"A Family Thing (1996)",Drama
1687730,"A Far Off Place (1993)",Adventure
1687730,"A Far Off Place (1993)",Drama
1687730,"A Far Off Place (1993)",Family
1687730,"A Far Off Place (1993)",Romance
1687738,"A Farewell to Arms (1932)",Drama
1687738,"A Farewell to Arms (1932)",Romance
1687738,"A Farewell to Arms (1932)",War
1687905,"A Few Good Men (1992)",Crime
1687905,"A Few Good Men (1992)",Drama
1687905,"A Few Good Men (1992)",Mystery
1687905,"A Few Good Men (1992)",Thriller
1688103,"A Fish Called Wanda (1988)",Comedy
1688103,"A Fish Called Wanda (1988)",Crime
1688565,"A Further Gesture (1997)",Drama
1688565,"A Further Gesture (1997)",Romance
1688565,"A Further Gesture (1997)",Thriller
1689117,"A Good Man in Africa (1994)",Comedy
1689183,"A Goofy Movie (1995)",Adventure
1689183,"A Goofy Movie (1995)",Animation
1689183,"A Goofy Movie (1995)",Comedy
1689183,"A Goofy Movie (1995)",Family
1689183,"A Goofy Movie (1995)",Musical
1689183,"A Goofy Movie (1995)",Romance
1689210,"A Grand Day Out (1989)",Adventure
1689210,"A Grand Day Out (1989)",Animation
1689210,"A Grand Day Out (1989)",Comedy
1689210,"A Grand Day Out (1989)",Family
1689210,"A Grand Day Out (1989)",Short
1689263,"A Great Day in Harlem (1994)",Documentary
1689263,"A Great Day in Harlem (1994)",Music
1689475,"A Hard Day's Night (1964)",Comedy
1689475,"A Hard Day's Night (1964)",Musical
1690318,"A Kid in King Arthur's Court (1995)",Adventure
1690318,"A Kid in King Arthur's Court (1995)",Comedy
1690318,"A Kid in King Arthur's Court (1995)",Family
1690318,"A Kid in King Arthur's Court (1995)",Fantasy
1690318,"A Kid in King Arthur's Court (1995)",Romance
1690377,"A King in New York (1957)",Comedy
1690377,"A King in New York (1957)",Drama
1690616,"A League of Their Own (1992)",Comedy
1690616,"A League of Their Own (1992)",Drama
1690616,"A League of Their Own (1992)",Sport
1690710,"A Letter from Death Row (1998)",Crime
1690710,"A Letter from Death Row (1998)",Drama
1690710,"A Letter from Death Row (1998)",Mystery
1690710,"A Letter from Death Row (1998)",Thriller
1690773,"A Life Less Ordinary (1997)",Comedy
1690773,"A Life Less Ordinary (1997)",Crime
1690773,"A Life Less Ordinary (1997)",Fantasy
1690773,"A Life Less Ordinary (1997)",Romance
1690958,"A Little Bit of Soul (1998)",Comedy
1691077,"A Little Princess (1995)",Drama
1691077,"A Little Princess (1995)",Family
1691077,"A Little Princess (1995)",Fantasy
1691387,"A Low Down Dirty Shame (1994)",Action
1691387,"A Low Down Dirty Shame (1994)",Comedy
1691387,"A Low Down Dirty Shame (1994)",Crime
1691642,"A Man for All Seasons (1966)",Biography
1691642,"A Man for All Seasons (1966)",Drama
1691642,"A Man for All Seasons (1966)",History
1691685,"A Man of No Importance (1994)",Comedy
1691685,"A Man of No Importance (1994)",Drama
1691793,"A Map of the World (1999)",Drama
1692173,"A Midsummer Night's Dream (1999)",Comedy
1692173,"A Midsummer Night's Dream (1999)",Fantasy
1692173,"A Midsummer Night's Dream (1999)",Romance
1692404,"A Modern Affair (1995)",Comedy
1692404,"A Modern Affair (1995)",Drama
1692404,"A Modern Affair (1995)",Romance
1692580,"A Month by the Lake (1995)",Comedy
1692580,"A Month by the Lake (1995)",Drama
1692580,"A Month by the Lake (1995)",Romance
1693225,"A Night at the Roxbury (1998)",Comedy
1693305,"A Night to Remember (1958)",Action
1693305,"A Night to Remember (1958)",Drama
1693305,"A Night to Remember (1958)",History
1693341,"A Nightmare on Elm Street (1984)",Horror
1693345,"A Nightmare on Elm Street 3: Dream Warriors (1987)",Horror
1693345,"A Nightmare on Elm Street 3: Dream Warriors (1987)",Thriller
1693346,"A Nightmare on Elm Street 4: The Dream Master (1988)",Horror
1693346,"A Nightmare on Elm Street 4: The Dream Master (1988)",Thriller
1693347,"A Nightmare on Elm Street Part 2: Freddy's Revenge (1985)",Horror
1693348,"A Nightmare on Elm Street: The Dream Child (1989)",Comedy
1693348,"A Nightmare on Elm Street: The Dream Child (1989)",Fantasy
