movieid,Budget,Gross Revenue,Additional Data,Copyright,Currency
1672052,650000,7142857,,South Australian Film Corporation,AUD
1672111,15800000,109305000,"794,938 (Sweden) | 3,746,964 (West Germany)",Rimfire Films Limited,AUD
1672580,10000000,3478370,,,USD
1673848,16000000,38176108,"519,175 (Germany) (7 November 1999) | 146,938 (Netherlands) (31 December 1999)",,USD
1674388,54000000,136182161,"3,799,822 (France) (24 June 1997) | 3,680,936 (France) (27 May 1997) | 2,839,128 (France) (22 April 1997) | 830,026 (France) (1 April 1997) (opening week) | 152,657 (France) (1 April 1997) (opening week) | 25,960 (France) (26 March 1997) (opening day) | 2,103,907 (Germany) (5 May 1997) | 2,058,380 (Germany) (28 April 1997) | 1,982,232 (Germany) (21 April 1997) | 1,886,916 (Germany) (14 April 1997) | 1,732,384 (Germany) (8 April 1997) | 1,449,381 (Germany) (2 April 1997) | 1,084,661 (Germany) (24 March 1997) | 761,328 (Germany) (18 March 1997) | 305,536 (Germany) (9 March 1997) | 813,354 (Netherlands) (31 December 1998) | 812,969 (Netherlands) (1 January 1998) | 259,747 (Portugal) (24 April 1997) | 211,177 (Portugal) (10 April 1997) | 173,095 (Portugal) (3 April 1997) | 98,707 (Portugal) (27 March 1997)",,USD
1677346,60000,536767,,,USD
1677516,6000000,6851636,45 (Netherlands) (31 December 2001) | 26 (Netherlands) (31 December 2000),,USD
1677631,10500000,239621,"2,911,076 (Spain) (20 December 20002)",Metro-Goldwyn-Mayer Inc.; 3 April 1968; LP36136 (in copyright registry),USD
1678036,28000000,40200000,"51,157 (Sweden)",MGM/UA Entertainment Co.,USD
1679029,43000000,37035515,"48,058 (Denmark) (14 September 2000) | 28,304 (Netherlands) (31 December 2000)","Â© 2000 Columbia Pictures Industries, Inc. (on print)",USD
1679507,6000000,9821335,,,USD
1681655,13000000,16574731,"4,586 (Netherlands) (31 December 1999)",(1998) Miramax Film Corp.,USD
1682692,7000000,19604000,,,USD
1682922,40000000,36283504,"787,000 (Germany) (9 May 1999) | 733,351 (Germany) (2 May 1999) | 666,842 (Germany) (25 April 1999) | 124,555 (Netherlands) (31 December 1999)",Global Entertainment Productions GmbH & Co. Medien KG,USD
1684430,22000000,17266971,,,USD
1684486,120000000,162792677,"3,570,275 (Germany) (31 December 1999) | 3,081,709 (Germany) (28 March 1999) | 2,985,622 (Germany) (21 March 1999) | 2,816,848 (Germany) (14 March 1999) | 2,570,128 (Germany) (7 March 1999) | 2,153,117 (Germany) (28 February 1999) | 488,677 (Netherlands) (31 December 2000) | 488,411 (Netherlands) (31 December 1999) | 633,708 (Sweden) (30 December 1999) | 623,803 (Sweden) (30 September 1999) | 610,057 (Sweden) (29 July 1999)",,USD
1685309,4000000,16743818,,Â© 1983 by MGM/UA Entertainment Co. (on print); MGM/UA Entertainment Company; 19 January 1984; PA12225 (in copyright registry),CAD
1685405,60000000,56702901,"66,083 (Germany) (25 April 1999) (opening week) | 37,443 (Netherlands) (31 December 1999)",copyright MCMXCVIII Touchstone Pictures and Paramount Pictures Corporation (on print),USD
1685463,2200000,26589355,"5,027,172 (Spain) (20 December 2002) | 4,229,886 (Spain) | 360,941 (Sweden) | 363,297 (West Germany) (1987) | 2,500,000 (West Germany) (1972)",Â© Copyright MCMLXXI by Warner Bros Inc. and Polaris Productions Inc. All Rights Reserved,USD
1687181,7000000,2148212,,,USD
1687905,40000000,141340178,"263,898 (Sweden)","COPYRIGHT Â© 1992 COLUMBIA PICTURES INDUSTRIES, INC. AND CASTLE ROCK ENTERTAINMENT",USD
1688103,7500000,63493712,"3,775,753 (Germany) | 818,396 (Sweden)","Metro-Goldwyn-Mayer Pictures, Inc.",USD
1689117,20000000,2308390,,,USD
1689475,560000,1000549,"680,000 (Sweden)",Proscenium Films; 6 July 1964; LP28626 (in copyright registry),USD
1690616,40000000,107458785,,,USD
1690773,12000000,4266243,"207,644 (France) (30 December 1997) | 100,271 (France) (opening week) | 149,425 (Germany) (2 February 1998) | 66,698 (Germany) (26 January 1998) (opening week) | 96,534 (Netherlands) (31 December 1998) | 84,009 (Netherlands) (1 January 1998)",Life Less Limited,USD
1691077,17000000,10019307,"3,375 (Netherlands) (31 December 1997) | 3,351 (Netherlands) (1 January 1997)",,USD
1691387,10000000,29392418,,Hollywood Pictures Company,USD
1691642,2000000,28350000,,"Copyright 1966, renewed 1994 Highland Films, Ltd.",USD
1693225,17000000,30324946,67 (Netherlands) (31 December 2000),,USD
1693341,1800000,10777659,,1984 The Elm Street Venture,USD
1693345,4500000,44053755,,The Third Elm Street Venture,USD
1693346,7000000,49336557,,,USD
1693347,2200000,23060333,"15,671 (Sweden)",The Second Elm Street Venture,USD
1693348,8000000,22168359,,,USD
