X,Y,Z,EDA,HR,TEMP,id,datetime,label
47,18,40,2.962926,94.57,33.55,15,23:00.0,0
37,15,34,2.962926,94.57,33.55,15,23:00.0,0
11,7,21,2.962926,94.57,33.55,15,23:00.1,0
4,-1,10,2.962926,94.57,33.55,15,23:00.1,0
10,-3,8,2.962926,94.57,33.55,15,23:00.1,0
20,-11,10,2.962926,94.57,33.55,15,23:00.2,0
26,-6,19,2.962926,94.57,33.55,15,23:00.2,0
43,-9,20,2.962926,94.57,33.55,15,23:00.2,0
44,-41,40,3.26922,94.57,33.55,15,23:00.2,0
78,-44,50,3.26922,94.57,33.55,15,23:00.3,0
70,-40,51,3.26922,94.57,33.55,15,23:00.3,0
65,-53,36,3.26922,94.57,33.55,15,23:00.3,0
48,-52,30,3.26922,94.57,33.55,15,23:00.4,0
53,-59,20,3.26922,94.57,33.55,15,23:00.4,0
58,-49,25,3.26922,94.57,33.55,15,23:00.4,0
45,-48,18,3.26922,94.57,33.55,15,23:00.5,0
39,-55,14,3.398658,94.57,33.55,15,23:00.5,0
48,-66,22,3.398658,94.57,33.55,15,23:00.5,0
58,-66,14,3.398658,94.57,33.55,15,23:00.6,0
63,-60,9,3.398658,94.57,33.55,15,23:00.6,0
59,-63,4,3.398658,94.57,33.55,15,23:00.6,0
61,-56,-1,3.398658,94.57,33.55,15,23:00.7,0
57,-58,-4,3.398658,94.57,33.55,15,23:00.7,0
56,-57,-8,3.398658,94.57,33.55,15,23:00.7,0
54,-53,-14,3.629339,94.57,33.55,15,23:00.7,0
36,-47,-17,3.629339,94.57,33.55,15,23:00.8,0
19,-62,-9,3.629339,94.57,33.55,15,23:00.8,0
26,-57,0,3.629339,94.57,33.55,15,23:00.8,0
25,-54,-3,3.629339,94.57,33.55,15,23:00.9,0
30,-53,-3,3.629339,94.57,33.55,15,23:00.9,0
27,-53,-2,3.629339,94.57,33.55,15,23:00.9,0
29,-53,1,3.629339,94.57,33.55,15,23:01.0,0
34,-65,7,3.780563,94.57,33.5,15,23:01.0,0
28,-74,5,3.780563,94.57,33.5,15,23:01.0,0
44,-62,10,3.780563,94.57,33.5,15,23:01.1,0
41,-61,8,3.780563,94.57,33.5,15,23:01.1,0
39,-63,10,3.780563,94.57,33.5,15,23:01.1,0
26,-62,6,3.780563,94.57,33.5,15,23:01.2,0
26,-62,5,3.780563,94.57,33.5,15,23:01.2,0
31,-58,4,3.780563,94.57,33.5,15,23:01.2,0
24,-59,4,3.917691,94.57,33.5,15,23:01.2,0
26,-54,2,3.917691,94.57,33.5,15,23:01.3,0
25,-58,4,3.917691,94.57,33.5,15,23:01.3,0
23,-56,11,3.917691,94.57,33.5,15,23:01.3,0
23,-58,12,3.917691,94.57,33.5,15,23:01.4,0
27,-57,10,3.917691,94.57,33.5,15,23:01.4,0
61,-63,39,3.917691,94.57,33.5,15,23:01.4,0
65,-64,40,3.917691,94.57,33.5,15,23:01.5,0
50,-94,51,3.994584,94.57,33.5,15,23:01.5,0
73,-90,60,3.994584,94.57,33.5,15,23:01.5,0
19,-105,58,3.994584,94.57,33.5,15,23:01.6,0
4,-118,49,3.994584,94.57,33.5,15,23:01.6,0
-39,-111,40,3.994584,94.57,33.5,15,23:01.6,0
-47,-85,30,3.994584,94.57,33.5,15,23:01.7,0
-66,-56,2,3.994584,94.57,33.5,15,23:01.7,0
-61,-44,-7,3.994584,94.57,33.5,15,23:01.7,0
-33,-3,-14,3.796569,94.57,33.5,15,23:01.7,0
